"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"TIM4_init","8add","Function","Global","User Defined","1","0"
"UART1_init","8aee","Function","Global","User Defined","1","0"
"ISR_TIM4_OF","8b07","Function","Global","User Defined","1","0"
"ISR_TIM1","8b59","Function","Global","User Defined","1","0"
"process_input_and_update_state","8bdd","Function","Global","Default","1","0"
"read_speed_via_adc?","8c70","Function","Global","User Defined","1","0"
"calculate_energy_values","8d8c","Function","Global","Default","1","0"
"calculate_and_update_values","8e06","Function","Global","Default","1","0"
"low_level_error_overlapping_input_varnodes","8ee9","Function","Global","User Defined","1","0"
"update_portc_pwm","94e6","Function","Global","User Defined","1","0"
"toggle_ODR1","98c8","Function","Global","User Defined","1","0"
"fsm_update?","98dc","Function","Global","User Defined","1","0"
"FUN_9927","9927","Function","Global","Default","1","0"
"entry","9a9b","Function","Global","User Defined","1","0"
"calculateOffset","9ac5","Function","Global","Default","1","0"
"initialize_data_structure","9adc","Function","Global","Default","1","0"
"counter_254_in_ram?","9af9","Function","Global","User Defined","3","0"
"calculate_bitwise_or","9b12","Function","Global","Default","0","0"
"update_memory_values","9b2a","Function","Global","Default","0","0"
"calculate_offset","9b42","Function","Global","Default","0","0"
"calculate_offset_2","9b50","Function","Global","Default","0","0"
"calculate_offset_3","9b5e","Function","Global","Default","0","0"
"calculate_offset_4","9b6c","Function","Global","Default","0","0"
"calculate_offset_5","9b75","Function","Global","Default","0","0"
"calculate_offset_6","9b7e","Function","Global","Default","0","0"
"calculate_offset_7","9b87","Function","Global","Default","9","0"
"compareEnergyValues","9ba8","Function","Global","Default","8","0"
"increment_bytes","9bc8","Function","Global","Default","2","0"
"increment_32bit_value_by_fixed_amount","9bd8","Function","Global","Default","3","0"
"read_ram_block","9bef","Function","Global","Default","8","0"
"increment_byte_with_carry","9bf7","Function","Global","Default","1","0"
"multiByteLeftShift","9c0d","Function","Global","Default","3","0"
"calculate_ram_block","9c1c","Function","Global","Default","1","0"
"speed_selector?","9ca7","Function","Global","User Defined","2","0"
"write_ram_block","9cbf","Function","Global","User Defined","23","0"
"calculate_division","9cd1","Function","Global","Default","10","0"
"calculate_quotient_and_remainder","9cfc","Function","Global","Default","2","0"
"increment_bytes_2","9dd0","Function","Global","Default","1","0"
"complementAndIncrement","9de3","Function","Global","Default","1","0"
"speed_selector_switcher?","9df8","Function","Global","User Defined","1","0"
"read_ram_bock","9e07","Function","Global","User Defined","27","0"
"calculate_adc_offset","9e19","Function","Global","Default","1","0"
"zero_e2_e3_ram_load_e4_as_idx","9e24","Function","Global","User Defined","19","0"
"ISR_empty","9e2b","Function","Global","User Defined","27","0"
"nopnopnopnop","9e2c","Function","Global","User Defined","27","0"
